Thu Jan 16 08:42:43 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Thu Jan 16 11:40:50 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:50 JST 2020: send msg: [addAction:say:シルバーのイヤリングが落ち着いた色合いで人気みたいだよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:50 JST 2020: send msg: [addAction:requestMessage:am;114050489] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:51 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:51 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:16)
Thu Jan 16 11:40:52 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:52 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:52 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:52 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:52 JST 2020: send msg: [addAction:requestMessage:am;114052191] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:52 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:54 JST 2020: send msg: [114052191] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:54 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:54 JST 2020: send msg: [addAction:requestMessage:am;114054189] to 'sota2' (/100.80.194.203, ID:36)
Thu Jan 16 11:40:58 JST 2020: send msg: [114054189] to 'am' (/127.0.0.1, ID:10)
Thu Jan 16 11:40:58 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:58 JST 2020: send msg: [addAction:requestMessage:am;114058968] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:40:58 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:33)
Thu Jan 16 11:41:02 JST 2020: send msg: [114058968] to 'am' (/127.0.0.1, ID:10)
