Wed Jan 15 16:08:08 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Wed Jan 15 16:08:08 JST 2020: Connect with /127.0.0.1, ID: 10
Wed Jan 15 17:25:48 JST 2020: send msg: [172544201] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:48 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:48 JST 2020: send msg: [addAction:say:うん、大変そう:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:48 JST 2020: send msg: [addAction:requestMessage:am;172548149] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:51 JST 2020: send msg: [172548149] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:51 JST 2020: send msg: [addAction:say:でも真剣に選んだら、きっと相手の女性も喜んでくれるよね!] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:25:51 JST 2020: send msg: [addAction:requestMessage:am;172551503] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:25:56 JST 2020: send msg: [172551503] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:25:57 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:57 JST 2020: send msg: [addAction:say:うん、うん、間違いないよ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:57 JST 2020: send msg: [addAction:requestMessage:am;17255725] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:25:59 JST 2020: send msg: [17255725] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:00 JST 2020: send msg: [addAction:say:女性のためにプレゼントをあげる男性はやっぱり、かっこいいね!] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:00 JST 2020: send msg: [addAction:requestMessage:am;172608] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:04 JST 2020: send msg: [172608] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:06 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:06 JST 2020: send msg: [kanren] to 'sh' (/127.0.0.1, ID:12)
Wed Jan 15 17:26:06 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:06 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:06 JST 2020: send msg: [clearBehavior] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:06 JST 2020: send msg: [kanren] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:07 JST 2020: send msg: [addAction:say:上品なイヤリングだね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:07 JST 2020: send msg: [addAction:requestMessage:am;1726736] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:09 JST 2020: send msg: [1726736] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:09 JST 2020: send msg: [addAction:say:そうだね、デザインが洗練されてるね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:09 JST 2020: send msg: [addAction:requestMessage:am;17269193] to 'sota2' (/100.80.194.203, ID:38)
Wed Jan 15 17:26:12 JST 2020: send msg: [17269193] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:13 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:13 JST 2020: send msg: [addAction:say:うん、うん、凛とした輝きがあるね] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:13 JST 2020: send msg: [addAction:requestMessage:am;17261352] to 'sota' (/100.80.194.202, ID:34)
Wed Jan 15 17:26:16 JST 2020: send msg: [17261352] to 'am' (/127.0.0.1, ID:10)
Wed Jan 15 17:26:16 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.203, ID:38)
