Fri Nov 08 14:03:53 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:53 JST 2019: send msg: [addAction:requestMessage:am;14353959] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:53 JST 2019: send msg: [addAction:say:ホワイトは上品な感じをだしつつ、どんなファッションにも合わせやすいんだ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 14:03:59 JST 2019: send msg: [14353959] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:03:59 JST 2019: send msg: [addAction:say:なるほどなあ、K10ホワイトゴールドだね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:03:59 JST 2019: send msg: [addAction:requestMessage:am;14359503] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 14:04:03 JST 2019: send msg: [14359503] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 14:04:24 JST 2019: disconnect with: 'pp' (/100.80.194.226,124)
Fri Nov 08 16:23:12 JST 2019: Connect with /100.80.194.226, ID: 196
Fri Nov 08 16:23:12 JST 2019: Register name as: 'pp' (/100.80.194.226, ID:196)
Fri Nov 08 16:23:15 JST 2019: send msg: [narrow] to 'sh' (/100.80.194.226, ID:16)
Fri Nov 08 16:23:15 JST 2019: send msg: [narrow] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:15 JST 2019: send msg: [addAction:motionWith:bodyPose:0:-900:0:-400:300:1000] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:15 JST 2019: send msg: [addAction:say:プレゼント、絶対に失敗したくない人、何選んだらいいかわからない人におすすめ] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:15 JST 2019: send msg: [addAction:requestMessage:am;162315335] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:21 JST 2019: send msg: [162315335] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:21 JST 2019: send msg: [addAction:say:なになに?:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:21 JST 2019: send msg: [addAction:motionWith:pose:1200:-900:0:900:0:0:0:0:700] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:21 JST 2019: send msg: [addAction:requestMessage:am;162321796] to 'sota2' (/100.80.194.248, ID:121)
Fri Nov 08 16:23:23 JST 2019: send msg: [162321796] to 'am' (/100.80.194.226, ID:10)
Fri Nov 08 16:23:23 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:23 JST 2019: send msg: [addAction:say:ページ上部のマテリアルから絞り込むのところを] to 'sota' (/100.80.194.247, ID:117)
Fri Nov 08 16:23:23 JST 2019: send msg: [addAction:requestMessage:am;162323322] to 'sota' (/100.80.194.247, ID:117)
