Tue Dec 17 23:15:46 JST 2019: @@@ RUN STAMP @@@ -- Frontier-is
Tue Dec 17 23:15:46 JST 2019: Connect with /100.80.194.248, ID: 10
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:say:これはすごく女性らしくていいイヤリングだよ] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:requestMessage:am;232720455] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:motionWith:pose:-1200:-900:0:900:0:-400:0:0:700] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:say:長さが特徴的なイヤリングだね] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:20 JST 2019: send msg: [addAction:requestMessage:am;232720579] to 'sota' (/100.80.194.247, ID:179)
Tue Dec 17 23:27:24 JST 2019: send msg: [232720455] to 'am' (/100.80.194.226, ID:207)
Tue Dec 17 23:27:26 JST 2019: send msg: [232720579] to 'am' (/100.80.194.226, ID:207)
Tue Dec 17 23:31:22 JST 2019: Connect with /100.80.194.226, ID: 227
Tue Dec 17 23:31:22 JST 2019: Connect with /100.80.194.226, ID: 225
Tue Dec 17 23:31:44 JST 2019: disconnect with: 'sh' (/100.80.194.226,210)
Tue Dec 17 23:31:44 JST 2019: Register name as: 'sh' (/100.80.194.226, ID:227)
Tue Dec 17 23:31:44 JST 2019: Register name as: 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:227)
Tue Dec 17 23:31:44 JST 2019: disconnect with: 'sh' (/100.80.194.226,19)
Tue Dec 17 23:31:44 JST 2019: disconnect with: 'am' (/100.80.194.226,207)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:227)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'sh' (/100.80.194.226, ID:227)
Tue Dec 17 23:31:44 JST 2019: send msg: [ok_long] to 'am' (/100.80.194.226, ID:225)
Tue Dec 17 23:31:44 JST 2019: send msg: [addAction:motionWith:homePose] to 'sota' (/100.80.194.247, ID:179)
