Fri Jan 31 21:42:14 JST 2020: @@@ RUN STAMP @@@ -- Frontier-is
Fri Jan 31 21:42:14 JST 2020: Connect with /100.80.194.162, ID: 10
Fri Jan 31 21:47:56 JST 2020: send msg: [214751533] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:56 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:56 JST 2020: send msg: [addAction:say:セクシーでセンスいいね:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:56 JST 2020: send msg: [addAction:requestMessage:am;214756314] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:47:59 JST 2020: send msg: [214756314] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:47:59 JST 2020: send msg: [addAction:say:うん、確かにそうだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:47:59 JST 2020: send msg: [addAction:requestMessage:am;214759161] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:01 JST 2020: send msg: [214759161] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:01 JST 2020: send msg: [addAction:motionWith:homePose] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:01 JST 2020: send msg: [addAction:say:あと色がシルバーだったら完璧だと思うなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:01 JST 2020: send msg: [addAction:requestMessage:am;21481653] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:05 JST 2020: send msg: [21481653] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:06 JST 2020: send msg: [addAction:say:うん、確かにそうだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:06 JST 2020: send msg: [addAction:say:シルバーは上品な色合いだね] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:06 JST 2020: send msg: [addAction:requestMessage:am;2148627] to 'sota' (/100.80.194.161, ID:22)
Fri Jan 31 21:48:10 JST 2020: send msg: [2148627] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:10 JST 2020: send msg: [addAction:motionWith:bodyPose:0:300:-500:900:0:1000] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:10 JST 2020: send msg: [addAction:requestMessage:am;214810973] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:10 JST 2020: send msg: [addAction:say:長いシルバーのイヤリングは、一番相性がよさそうだなあ:rate=10:pitch=1:intonation=8] to 'sota2' (/100.80.194.162, ID:10)
Fri Jan 31 21:48:14 JST 2020: send msg: [clear] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:48:14 JST 2020: send msg: [25_2] to 'sh' (/127.0.0.1, ID:19)
Fri Jan 31 21:48:14 JST 2020: send msg: [clear] to 'am' (/127.0.0.1, ID:16)
Fri Jan 31 21:48:14 JST 2020: send msg: [clearBehavior] to 'sota' (/100.80.194.161, ID:22)
